Nome da Microzona,Carreira,Sentido,Interface,Codigo de Paragem (SIP),Paragens  - Nome,Localização,Destino
Cais do Sodré,201,A,Metro; Comboio; Barco,03805,Cais Sodré,Cais Sodré,Linda-a-Velha
Cais do Sodré,201,A,Metro; Comboio; Barco,03802,Cais Sodré,Av. 24 Julho,Linda-a-Velha
Conde Barão,201,A,-,07102,Conde Barão - Av. 24 Julho,Av. 24 Julho,Linda-a-Velha
Santos,201,A,Comboio,03902,Santos,Av. 24 Julho,Linda-a-Velha
Pç. Armada,201,A,-,03906,Cais Rocha (Museu Nac. Arte Antiga),Av. 24 Julho,Linda-a-Velha
Pç. Armada,201,A,-,10202,Av. Infante Santo,Av. 24 Julho,Linda-a-Velha
Alcântara Mar,201,A,Comboio,04004,Alcântara - Av. 24 Julho,Av. 24 Julho,Linda-a-Velha
Calvário,201,A,-,12102,Calvário,Lg. Fontainhas,Linda-a-Velha
Calvário,201,A,-,12108,Estação Sto. Amaro,R. 1º Maio,Linda-a-Velha
Junqueira,201,A,-,09504,R. Junqueira (Centro Congressos),R. Junqueira,Linda-a-Velha
Junqueira,201,A,-,09506,Hosp. Egas Moniz,R. Junqueira,Linda-a-Velha
Altinho,201,A,-,09508,R. Pinto Ferreira,R. Junqueira,Linda-a-Velha
Altinho,201,A,-,04114,Altinho,R. Junqueira,Linda-a-Velha
Altinho,201,A,Autocarro; Comboio; Barco,04110,Belém,R. Junqueira,Linda-a-Velha
Belém,201,A,-,09604,Mosteiro Jerónimos,Lg. Jerónimos,Linda-a-Velha
Belém,201,A,-,09608,R. Jerónimos,R. Jerónimos,Linda-a-Velha
Belém,201,A,-,09614,Av. Restelo (Estádio),Av. Restelo,Linda-a-Velha
Alto do Duque,201,A,-,09714,Av. Restelo,Av. Restelo,Linda-a-Velha
Alto do Duque,201,A,-,09712,Av. D. Vasco Gama,Av. Restelo,Linda-a-Velha
Alto do Duque,201,A,-,09709,R. Alto Duque,Av. D. Vasco Gama,Linda-a-Velha
Algés,201,A,-,04205,R. D. Jerónimo Osório,Av. D. Vasco Gama,Linda-a-Velha
Algés,201,A,Autocarro; Comboio,04207,Algés,Av. Bombeiros Voluntários Algés,Linda-a-Velha
Algés,201,A,-,04202,Algés (Mercado),Av. Bombeiros Voluntários Algés,Linda-a-Velha
Algés,201,A,-,04224,R. Latino Coelho,Av. Bombeiros Voluntários Algés,Linda-a-Velha
Av. Bombeiros Voluntários,201,A,-,18404,Av. Bombeiros V. Algés (Cinema),Av. Bombeiros Voluntários Algés,Linda-a-Velha
Av. Bombeiros Voluntários,201,A,-,18402,Av. Bombeiros V. Algés,Av. Bombeiros Voluntários Algés,Linda-a-Velha
Estação de Miraflores,201,A,-,14312,Esc. Sec. Miraflores,Av. General Norton Matos,Linda-a-Velha
Estação de Miraflores,201,A,-,14310,Miraflores,Av. General Norton Matos,Linda-a-Velha
Estação de Miraflores,201,A,-,14308,Miraflores Norte,Al. Fernão Lopes,Linda-a-Velha
Estação de Miraflores,201,A,-,14306,Al. Fernão Lopes (Est. Miraflores),Al. Fernão Lopes,Linda-a-Velha
Miraflores,201,A,-,94901,Av. José Gomes Ferreira,Av. José Gomes Ferreira,Linda-a-Velha
Miraflores,201,A,-,94904,Linda-a-Velha,Al. António Sérgio,Linda-a-Velha
Miraflores,201,D,-,94903,Linda-a-Velha,Al. António Sérgio,Cais Sodré
Miraflores,201,D,-,94902,Av. José Gomes Ferreira,Av. José Gomes Ferreira,Cais Sodré
Estação de Miraflores,201,D,-,14305,Al. Fernão Lopes (Est. Miraflores),Al. Fernão Lopes,Cais Sodré
Estação de Miraflores,201,D,-,14307,Miraflores Norte,Al. Fernão Lopes,Cais Sodré
Estação de Miraflores,201,D,-,14309,Miraflores,Av. General Norton Matos,Cais Sodré
Estação de Miraflores,201,D,-,14311,Esc. Sec. Miraflores,Av. General Norton Matos,Cais Sodré
Av. Bombeiros Voluntários,201,D,-,18401,Av. Bombeiros V. Algés,Av. Bombeiros Voluntários Algés,Cais Sodré
Av. Bombeiros Voluntários,201,D,-,18403,Av. Bombeiros V. Algés (Cinema),Av. Bombeiros Voluntários Algés,Cais Sodré
Algés,201,D,-,04225,R. Latino Coelho,Av. Bombeiros Voluntários Algés,Cais Sodré
Algés,201,D,-,04213,Algés (Mercado),Av. Bombeiros Voluntários Algés,Cais Sodré
Algés,201,D,Autocarro; Comboio,04210,Algés,Interface Algés (P. D. Manuel I),Cais Sodré
Algés,201,D,-,04204,R. D. Jerónimo Osório,Av. D. Vasco Gama,Cais Sodré
Alto do Duque,201,D,-,09710,R. Alto Duque,Av. D. Vasco Gama,Cais Sodré
Alto do Duque,201,D,-,09711,Av. D. Vasco Gama,Av. Restelo,Cais Sodré
Alto do Duque,201,D,-,09713,Av. Restelo,Av. Restelo,Cais Sodré
Belém,201,D,-,09613,Av. Restelo (Estádio),Av. Restelo,Cais Sodré
Belém,201,D,-,09607,R. Jerónimos,R. Jerónimos,Cais Sodré
Belém,201,D,-,09603,Mosteiro Jerónimos,R. Belém,Cais Sodré
Altinho,201,D,Autocarro; Comboio; Barco,04109,Belém,Pç. Afonso Albuquerque,Cais Sodré
Altinho,201,D,-,04115,Altinho,R. Junqueira,Cais Sodré
Altinho,201,D,-,09507,R. Pinto Ferreira,R. Junqueira,Cais Sodré
Junqueira,201,D,-,09505,Hosp. Egas Moniz,R. Junqueira,Cais Sodré
Junqueira,201,D,-,09503,R. Junqueira (Centro Congressos),R. Junqueira,Cais Sodré
Calvário,201,D,-,12107,Estação Sto. Amaro,R. 1º Maio,Cais Sodré
Calvário,201,D,-,12101,Calvário,Lg. Fontainhas,Cais Sodré
Alcântara Mar,201,D,Comboio,04001,Alcântara - Av. 24 Julho,Av. 24 Julho,Cais Sodré
Pç. Armada,201,D,-,10201,Av. Infante Santo,Av. 24 Julho,Cais Sodré
Pç. Armada,201,D,-,03905,Cais Rocha (Museu Nac. Arte Antiga),Av. 24 Julho,Cais Sodré
Santos,201,D,Comboio,03901,Santos,Av. 24 Julho,Cais Sodré
Conde Barão,201,D,-,07101,Conde Barão - Av. 24 Julho,Av. 24 Julho,Cais Sodré
Cais do Sodré,201,D,Metro; Comboio; Barco,03803,Cais Sodré,Av. 24 Julho,Cais Sodré
Cais do Sodré,201,D,Metro; Comboio; Barco,03805,Cais Sodré,Cais Sodré,Cais Sodré
Cais do Sodré,202,A,Metro; Comboio; Barco,03807,Cais Sodré,Cais Sodré,B.º Padre Cruz
Cais do Sodré,202,A,-,03825,R. Alecrim,R. Alecrim,B.º Padre Cruz
Camões,202,A,Metro,10501,Pç. Luis Camões,R. Misericórdia,B.º Padre Cruz
Camões,202,A,-,10503,Lg. Trindade Coelho,Lg. Trindade Coelho,B.º Padre Cruz
Príncipe Real,202,A,-,10601,Ascensor Glória,R. S. Pedro Alcântara,B.º Padre Cruz
Príncipe Real,202,A,-,10605,Príncipe Real,Pç. Principe Real,B.º Padre Cruz
Príncipe Real,202,A,-,10607,R. Escola Politécnica,R. Escola Politécnica,B.º Padre Cruz
Rato,202,A,Metro,06812,Rato,Lg. Rato,B.º Padre Cruz
Rato,202,A,-,06816,R. Custódio Vieira,R. D. João V,B.º Padre Cruz
Amoreiras,202,A,-,08513,R. D. João V,R. Carlos Alberto Mota Pinto,B.º Padre Cruz
Amoreiras,202,A,-,08511,Amoreiras,R. Carlos Alberto Mota Pinto,B.º Padre Cruz
Amoreiras,202,A,-,08509,Av. Cons. Fernando Sousa,Av. Cons. Fernando Sousa,B.º Padre Cruz
Campolide,202,A,-,06119,Campolide,R. Campolide,B.º Padre Cruz
Campolide,202,A,-,06121,R. Campolide,R. Campolide,B.º Padre Cruz
Campolide,202,A,-,06123,R. Campolide (Escola),R. Campolide,B.º Padre Cruz
Campolide,202,A,-,02711,Tarujo,R. Campolide,B.º Padre Cruz
Sete Rios,202,A,-,02713,Av. José Malhoa,R. Campolide,B.º Padre Cruz
Sete Rios,202,A,Metro; Autocarro; Comboio,01621,Estação Sete Rios,Av. Columbano Bordalo Pinheiro,B.º Padre Cruz
Sete Rios,202,A,Metro; Autocarro,01607,Sete Rios,Pç. General Humberto Delgado,B.º Padre Cruz
Sete Rios,202,A,-,01616,Estr. Benfica (Furnas),Estrada Benfica,B.º Padre Cruz
Benfica,202,A,-,10706,R. Duarte Galvão,Estrada Benfica,B.º Padre Cruz
Benfica,202,A,-,10704,B.º Novo,Estrada Benfica,B.º Padre Cruz
Benfica,202,A,-,10702,S. Domingos Benfica,Estrada Benfica,B.º Padre Cruz
Calhariz Benfica,202,A,-,10830,Pupilos Exército,Estrada Benfica,B.º Padre Cruz
Calhariz Benfica,202,A,-,10826,R. Prof. Reinaldo Santos,Estrada Benfica,B.º Padre Cruz
Calhariz Benfica,202,A,-,10814,Calhariz,R. Joaquim Paço Arcos,B.º Padre Cruz
Calhariz Benfica,202,A,-,10802,Esc. Pedro Santarém,Estrada Benfica,B.º Padre Cruz
Igreja Benfica,202,A,-,10908,Estr. Benfica / Av. Gomes Pereira,Av. Gomes Pereira,B.º Padre Cruz
Estação Benfica,202,A,-,02804,R. Gen. Morais Sarmento,Av. Gomes Pereira,B.º Padre Cruz
Estação Benfica,202,A,Comboio,02806,Estação Benfica,R. Venezuela,B.º Padre Cruz
Estação Benfica,202,A,-,08816,R. Venezuela,R. Venezuela,B.º Padre Cruz
Bº Sta. Cruz,202,A,-,02908,R. Casquilha,R. Casquilha,B.º Padre Cruz
Bº Sta. Cruz,202,A,-,02909,B.º Sta. Cruz,R. Casquilha,B.º Padre Cruz
Bº Sta. Cruz,202,A,-,02904,Benfica (Mercado),R. Olivério Serpa,B.º Padre Cruz
Portas Benfica,202,A,Autocarro,11001,Portas Benfica,Portas Benfica,B.º Padre Cruz
Portas Benfica,202,A,-,11008,Estr. Benfica (Mercado),R. Paz Reis,B.º Padre Cruz
Portas Benfica,202,A,-,10926,R. Pedralvas,R. Pedralvas,B.º Padre Cruz
Cemitério Benfica,202,A,-,13708,Cç. Tojal (Cemitério Benfica),Cç. Tojal,B.º Padre Cruz
Cemitério Benfica,202,A,-,13711,Caliça,Acesso à CRIL,B.º Padre Cruz
Pontinha,202,A,Metro; Autocarro,13913,Pontinha (Metro),Interface Pontinha,B.º Padre Cruz
Pontinha,202,A,-,13906,Pontinha,Estrada Circunvalação,B.º Padre Cruz
Bº Padre Cruz,202,A,-,14110,Mal Penteada,Estrada Circunvalação,B.º Padre Cruz
Bº Padre Cruz,202,A,-,14102,Estr. Militar (Escorpiões),Estrada Circunvalação,B.º Padre Cruz
Bº Padre Cruz,202,A,-,14104,Serra Luz,R. Rio Tejo,B.º Padre Cruz
Bº Padre Cruz,202,A,-,14106,R. Rio Tejo,R. Rio Tejo,B.º Padre Cruz
Bº Padre Cruz,202,A,-,14107,B.º Padre Cruz,Lg. Igreja,B.º Padre Cruz
Bº Padre Cruz,202,D,-,14107,B.º Padre Cruz,Lg. Igreja,Cais Sodré
Bº Padre Cruz,202,D,-,14105,R. Rio Tejo,R. Rio Tejo,Cais Sodré
Bº Padre Cruz,202,D,-,14103,Serra Luz,Estrada Circunvalação,Cais Sodré
Bº Padre Cruz,202,D,-,14101,Estr. Militar (Escorpiões),Estrada Circunvalação,Cais Sodré
Bº Padre Cruz,202,D,-,14111,Mal Penteada,Estrada Circunvalação,Cais Sodré
Pontinha,202,D,Autocarro,13909,Pontinha,R. St. André,Cais Sodré
Pontinha,202,D,Metro; Autocarro,13907,Pontinha (Metro),Interface Pontinha,Cais Sodré
Cemitério Benfica,202,D,-,13710,Caliça,Acesso à CRIL,Cais Sodré
Cemitério Benfica,202,D,-,13709,Cç. Tojal (Cemitério Benfica),R. Pedralvas,Cais Sodré
Portas Benfica,202,D,-,10927,R. Pedralvas,R. Pedralvas,Cais Sodré
Portas Benfica,202,D,Autocarro,11001,Portas Benfica,Portas Benfica,Cais Sodré
Bº Sta. Cruz,202,D,-,02903,Benfica (Mercado),R. Casquilha,Cais Sodré
Bº Sta. Cruz,202,D,-,02910,B.º Sta. Cruz,R. Casquilha,Cais Sodré
Bº Sta. Cruz,202,D,-,02907,R. Casquilha,R. Casquilha,Cais Sodré
Estação Benfica,202,D,-,08813,R. Venezuela,R. Venezuela,Cais Sodré
Estação Benfica,202,D,Comboio,02805,Estação Benfica,R. Venezuela,Cais Sodré
Estação Benfica,202,D,-,02803,R. Gen. Morais Sarmento,Av. Gomes Pereira,Cais Sodré
Igreja Benfica,202,D,-,10907,Estr. Benfica / Av. Gomes Pereira,Av. Gomes Pereira,Cais Sodré
Calhariz Benfica,202,D,-,10835,Esc. Pedro Santarém,Estrada Benfica,Cais Sodré
Calhariz Benfica,202,D,-,10803,Calhariz (Centro Saúde Benfica),R. José Rodrigues Miguéis,Cais Sodré
Calhariz Benfica,202,D,-,10821,R. Prof. Reinaldo Santos,Estrada Benfica,Cais Sodré
Calhariz Benfica,202,D,-,10829,Pupilos Exército,Estrada Benfica,Cais Sodré
Benfica,202,D,-,10701,S. Domingos Benfica,Estrada Benfica,Cais Sodré
Benfica,202,D,-,10703,B.º Novo,Estrada Benfica,Cais Sodré
Benfica,202,D,-,10705,R. Duarte Galvão,Estrada Benfica,Cais Sodré
Sete Rios,202,D,-,01615,Estr. Benfica (Furnas),Estrada Benfica,Cais Sodré
Sete Rios,202,D,Metro; Autocarro,01610,Sete Rios,Pç. General Humberto Delgado,Cais Sodré
Sete Rios,202,D,Metro; Autocarro; Comboio,02712,Estação Sete Rios,Arruamento paralelo à R. Campolide,Cais Sodré
Campolide,202,D,-,02710,Tarujo,R. Campolide,Cais Sodré
Campolide,202,D,-,06124,R. Campolide (Escola),R. Campolide,Cais Sodré
Campolide,202,D,-,06122,R. Campolide,R. Campolide,Cais Sodré
Amoreiras,202,D,-,06101,Campolide,R. Marquês Fronteira,Cais Sodré
Campolide,202,D,-,06120,Campolide (Av. Cons. Fernando Sousa),Av. Cons. Fernando Sousa,Cais Sodré
Amoreiras,202,D,-,08512,Amoreiras,R. Carlos Alberto Mota Pinto,Cais Sodré
Amoreiras,202,D,-,08514,R. D. João V,R. D. João V,Cais Sodré
Rato,202,D,-,06815,R. Custódio Vieira,R. D. João V,Cais Sodré
Rato,202,D,-,06813,Rato - R. D. João V,R. D. João V,Cais Sodré
Rato,202,D,Metro,06807,Rato,Lg. Rato,Cais Sodré
Príncipe Real,202,D,-,10608,R. Escola Politécnica,R. Escola Politécnica,Cais Sodré
Príncipe Real,202,D,-,10606,Príncipe Real,R. Escola Politécnica,Cais Sodré
Príncipe Real,202,D,-,10604,S. Pedro Alcântara,R. D. Pedro V,Cais Sodré
Príncipe Real,202,D,-,10602,Ascensor Glória,R. S. Pedro Alcântara,Cais Sodré
Camões,202,D,-,10504,Lg. Trindade Coelho,R. Misericórdia,Cais Sodré
Camões,202,D,Metro,10502,Pç. Luis Camões,R. Alecrim,Cais Sodré
Cais do Sodré,202,D,-,03826,R. Alecrim,R. Alecrim,Cais Sodré
Cais do Sodré,202,D,Metro; Comboio; Barco,03807,Cais Sodré,Cais Sodré,Cais Sodré
Cais do Sodré,206,A,Metro; Comboio; Barco,03801,Cais Sodré,Cais Sodré,Sr. Roubado-Metro
Cais do Sodré,206,A,-,03824,Corpo Santo,R. Arsenal,Sr. Roubado-Metro
Cais do Sodré,206,A,-,05501,Pç. Comércio,Pç. Comércio,Sr. Roubado-Metro
T. Paço,206,A,Metro; Barco,04505,Sul e Sueste,R. Arameiros,Sr. Roubado-Metro
Alfândega,206,A,-,04503,Campo Cebolas,Av. Infante D. Henrique,Sr. Roubado-Metro
Alfândega,206,A,-,08201,Alfândega,Av. Infante D. Henrique,Sr. Roubado-Metro
Alfândega,206,A,-,08203,Casa Conto,Av. Infante D. Henrique,Sr. Roubado-Metro
Sta. Apolónia,206,A,Metro; Comboio,02101,Estação Sta. Apolónia,Lg. Caminhos Ferro,Sr. Roubado-Metro
Sta. Apolónia,206,A,-,02103,R. Bica Sapato,R. Bica Sapato,Sr. Roubado-Metro
Sta. Apolónia,206,A,-,02105,R. Vale Sto. António,R. Vale St. António,Sr. Roubado-Metro
Sta. Apolónia,206,A,-,02107,R. Washington,R. Washington,Sr. Roubado-Metro
Vale Sto. António,206,A,-,09115,R. Mato Grosso,R. Afonso Domingues,Sr. Roubado-Metro
Vale Sto. António,206,A,-,09113,R. Bartolomeu Costa,R. Bartolomeu Costa,Sr. Roubado-Metro
Vale Sto. António,206,A,-,09111,R. Sapadores,R. Sapadores,Sr. Roubado-Metro
Sapadores,206,A,-,09109,Sapadores,Av. General Roçadas,Sr. Roubado-Metro
Sapadores,206,A,-,09107,Av. General Roçadas,Av. General Roçadas,Sr. Roubado-Metro
Paiva Couceiro,206,A,-,07009,Esc. Nuno Gonçalves,Av. General Roçadas,Sr. Roubado-Metro
Paiva Couceiro,206,A,-,07003,Pç. Paiva Couceiro,Av. General Roçadas,Sr. Roubado-Metro
Paiva Couceiro,206,A,-,07011,Pç. Paiva Couceiro / R. Morais Soares,R. Morais Soares,Sr. Roubado-Metro
P. Chile,206,A,-,00501,R. Morais Soares,R. Morais Soares,Sr. Roubado-Metro
P. Chile,206,A,Metro,00509,Pç. Chile,R. Morais Soares,Sr. Roubado-Metro
Alameda,206,A,Metro,00413,Alameda D. A. Henriques,Av. Almirante Reis,Sr. Roubado-Metro
Alameda,206,A,-,00411,Pç. João Rio,Av. Almirante Reis,Sr. Roubado-Metro
Areeiro,206,A,Metro; Autocarro; Comboio,00319,Areeiro,Av. João XXI,Sr. Roubado-Metro
Av. João XXI,206,A,-,00305,Av. João XXI / Pç. Londres,Av. João XXI,Sr. Roubado-Metro
Av. João XXI,206,A,Comboio,00307,Av. Roma (Piscina),Av. Roma,Sr. Roubado-Metro
Av. Roma - E.U.A.,206,A,Metro,00201,B.º S. Miguel - Av. Roma,Av. Roma,Sr. Roubado-Metro
Av. Roma - E.U.A.,206,A,-,00203,Av. Roma / Av. EUA,Av. Roma,Sr. Roubado-Metro
Alvalade,206,A,Metro,00101,Esc. Rainha D. Leonor,Av. Roma,Sr. Roubado-Metro
Alvalade,206,A,Metro,00106,Pç. Alvalade (Esc. Eugénio Santos),Av. Roma,Sr. Roubado-Metro
Av. Brasil - Murtas,206,A,-,11301,Hosp. Júlio Matos,Av. Brasil,Sr. Roubado-Metro
C. Grande - Av. Brasil,206,A,-,05705,Campo Grande - Av. Brasil,Campo Grande - Nascente,Sr. Roubado-Metro
C. Grande Norte,206,A,-,05805,Campo Grande Norte,Campo Grande - Nascente,Sr. Roubado-Metro
Musgueira,206,A,-,11503,Alta de Lisboa (Qta. Conchas),Eixo Central Alta Lisboa,Sr. Roubado-Metro
Musgueira,206,A,-,11506,Estação Musgueira,Av. Carlos Paredes,Sr. Roubado-Metro
Musgueira,206,A,-,11505,Estação Musgueira,Av. Carlos Paredes,Sr. Roubado-Metro
Musgueira,206,A,-,11510,Av. Carlos Paredes,Av. Carlos Paredes,Sr. Roubado-Metro
Lumiar,206,A,-,05930,Castanheira Moura,Estrada Torre,Sr. Roubado-Metro
Lumiar,206,A,Metro,05959,Estr. Torre,Estrada Torre,Sr. Roubado-Metro
Lumiar,206,A,Metro; Autocarro,05950,Lumiar,Estrada Torre,Sr. Roubado-Metro
Lumiar,206,A,-,05909,R. Alexandre Ferreira,R. Alexandre Ferreira,Sr. Roubado-Metro
Calçada de Carriche,206,A,-,05911,Ameixoeira - Estr. Desvio,Estrada Desvio,Sr. Roubado-Metro
Calçada de Carriche,206,A,-,07203,Estr. Desvio / R. Prof. J. Pinto Correia,Estrada Desvio,Sr. Roubado-Metro
Calçada de Carriche,206,A,-,07205,Qta. Lavadeiras,Estrada Desvio,Sr. Roubado-Metro
Calçada de Carriche,206,A,Autocarro,07207,Cç. Carriche / Estr. Desvio,Estrada Desvio,Sr. Roubado-Metro
Sr. Roubado,206,A,Autocarro,07218,Olival Basto,R. Angola,Sr. Roubado-Metro
Sr. Roubado,206,A,-,07211,Sr. Roubado,acesso à Rotunda Sr.Roubado,Sr. Roubado-Metro
Sr. Roubado,206,A,Metro; Autocarro,07219,Sr. Roubado (Metro),Interface Sr. Roubado,Sr. Roubado-Metro
Sr. Roubado,206,D,Metro; Autocarro,07219,Sr. Roubado (Metro),Interface Sr. Roubado,Cais Sodré
Sr. Roubado,206,D,-,07204,Sr. Roubado,R. Pedro Alvares Cabral,Cais Sodré
Calçada de Carriche,206,D,Autocarro,07202,Cç. Carriche / Estr. Desvio,Cç. Carriche,Cais Sodré
Calçada de Carriche,206,D,-,05910,Cç. Carriche / Estr. Militar,Cç. Carriche,Cais Sodré
Lumiar,206,D,-,05908,R. Lumiar,R. Lumiar,Cais Sodré
Lumiar,206,D,-,05905,Lumiar,R. Cordeiro Ferreira,Cais Sodré
Lumiar,206,D,Metro,05958,Estr. Torre,Estrada Torre,Cais Sodré
Lumiar,206,D,-,05913,Castanheira Moura,Estrada Torre,Cais Sodré
Musgueira,206,D,-,11507,Av. Carlos Paredes,Av. Carlos Paredes,Cais Sodré
Musgueira,206,D,-,11506,Estação Musgueira,Av. Carlos Paredes,Cais Sodré
Musgueira,206,D,-,11505,Estação Musgueira,Av. Carlos Paredes,Cais Sodré
Musgueira,206,D,-,11504,Alta de Lisboa (Qta. Conchas),Eixo Central Alta Lisboa,Cais Sodré
Av. Brasil - Murtas,206,D,-,11401,R. Murtas Poente,R. das Murtas,Cais Sodré
Av. Brasil - Murtas,206,D,-,11310,R. Murtas / Av. Brasil,R. Murtas,Cais Sodré
Av. Brasil - Murtas,206,D,-,11302,Hosp. Júlio Matos,Av. Roma,Cais Sodré
Alvalade,206,D,Metro,00104,Pç. Alvalade (Esc. Eugénio Santos),Av. Roma,Cais Sodré
Alvalade,206,D,Metro,00102,Esc. Rainha D. Leonor,Av. Roma,Cais Sodré
Av. Roma - E.U.A.,206,D,-,00204,Av. Roma / Av. EUA,Av. Roma,Cais Sodré
Av. Roma - E.U.A.,206,D,Metro,00202,B.º S. Miguel - Av. Roma,Av. Roma,Cais Sodré
Av. João XXI,206,D,Comboio,00306,Av. Roma (Piscina),Av. Roma,Cais Sodré
Av. João XXI,206,D,-,00304,Av. João XXI / Pç. Londres,Av. João XXI,Cais Sodré
Areeiro,206,D,Metro; Autocarro; Comboio,00302,Areeiro,Av. João XXI,Cais Sodré
Alameda,206,D,-,00404,Pç. João Rio,Av. Almirante Reis,Cais Sodré
Alameda,206,D,Metro,00410,Alameda D. A. Henriques,Av. Almirante Reis,Cais Sodré
P. Chile,206,D,Metro,00522,Pç. Chile,R. Morais Soares,Cais Sodré
P. Chile,206,D,-,00502,R. Morais Soares,R. Morais Soares,Cais Sodré
Paiva Couceiro,206,D,-,07004,Pç. Paiva Couceiro,Pç. Paiva Couceiro,Cais Sodré
Paiva Couceiro,206,D,-,07006,Esc. Nuno Gonçalves,Av. General Roçadas,Cais Sodré
Sapadores,206,D,-,09108,Av. General Roçadas,Av. General Roçadas,Cais Sodré
Sapadores,206,D,-,09110,Sapadores,R. Sapadores,Cais Sodré
Vale Sto. António,206,D,-,09112,R. Sapadores,R. Sapadores,Cais Sodré
Vale Sto. António,206,D,-,09114,R. Afonso Domingues,R. Afonso Domingues,Cais Sodré
Vale Sto. António,206,D,-,09116,R. Mato Grosso,R. Afonso Domingues,Cais Sodré
Sta. Apolónia,206,D,-,02108,R. Washington,R. Washington,Cais Sodré
Sta. Apolónia,206,D,-,02106,R. Vale Sto. António,R. Washington,Cais Sodré
Sta. Apolónia,206,D,-,02104,R. Bica Sapato,R. Diogo Couto,Cais Sodré
Sta. Apolónia,206,D,-,02131,Cç. Sta. Apolónia,Cç. Sta. Apolónia,Cais Sodré
Sta. Apolónia,206,D,-,02128,Estação Sta. Apolónia (Mercadorias),Av. Infante D. Henrique,Cais Sodré
Sta. Apolónia,206,D,Metro; Comboio,02118,Estação Sta. Apolónia,Av. Infante D. Henrique,Cais Sodré
Alfândega,206,D,-,08204,Casa Conto,Av. Infante D. Henrique,Cais Sodré
Alfândega,206,D,-,08202,Alfândega,Av. Infante D. Henrique,Cais Sodré
T. Paço,206,D,Metro; Barco,04502,Sul e Sueste,R. Arameiros,Cais Sodré
T. Paço,206,D,Barco,05504,Pç. Comércio,R. Arsenal,Cais Sodré
Cais do Sodré,206,D,-,03820,Corpo Santo,R. Arsenal,Cais Sodré
Cais do Sodré,206,D,Metro; Comboio; Barco,03801,Cais Sodré,Cais Sodré,Cais Sodré
Cais do Sodré,207,A,Metro; Comboio; Barco,03812,Cais Sodré,Cais Sodré,Fetais
Cais do Sodré,207,A,-,03824,Corpo Santo,R. Arsenal,Fetais
R. Conceição,207,A,Barco,05519,Pç. Comércio,R. Prata,Fetais
Rossio,207,A,Metro; Comboio,00901,Rossio,Pç. D. Pedro IV,Fetais
Restauradores,207,A,Metro; Comboio,01003,Restauradores,Pç. Restauradores,Fetais
Avenida,207,A,Metro,01103,Av. Liberdade,Av. Liberdade,Fetais
Marquês Pombal,207,A,Metro; Autocarro,01225,Mq. Pombal - Av. Fontes P. Melo,Av. Fontes Pereira Melo,Fetais
Av. António A. Aguiar,207,A,-,01701,Av. Fontes P. Melo,Av. Fontes Pereira Melo,Fetais
Picoas,207,A,Metro,01703,Picoas,Av. Fontes Pereira Melo,Fetais
Saldanha,207,A,Metro,01801,Saldanha,Pç. Duque Saldanha,Fetais
Saldanha,207,A,-,01805,Av. República,Av. República,Fetais
Campo Pequeno,207,A,Metro,01903,Campo Pequeno - Av. República,Av. República,Fetais
Entrecampos,207,A,Metro; Comboio,02021,Estação Entrecampos,Av. República,Fetais
Entrecampos,207,A,Metro,02001,Entrecampos,Av. República,Fetais
Entrecampos,207,A,metro,02015,Entrecampos Norte,Campo Grande - Nascente,Fetais
Entrecampos,207,A,-,02017,Campo Grande,Campo Grande - Nascente,Fetais
C. Grande - Av. Brasil,207,A,-,05705,Campo Grande - Av. Brasil,Campo Grande - Nascente,Fetais
C. Grande Norte,207,A,-,05805,Campo Grande Norte,Campo Grande - Nascente,Fetais
C. Grande Norte,207,A,Metro; Autocarro,05807,Campo Grande (Metro),R. Cipriano Dourado,Fetais
C. Grande Norte,207,A,-,05811,Hosp. Pulido Valente,Al. Linhas de Torres,Fetais
C. Grande Norte,207,A,-,05901,Av. Rainha D. Leonor,Al. Linhas de Torres,Fetais
Lumiar,207,A,-,05903,Qta. Conchas,Al. Linhas de Torres,Fetais
Lumiar,207,A,Metro; Autocarro,05905,Lumiar,R. Cordeiro Ferreira,Fetais
Lumiar,207,A,Metro,05958,Estr. Torre,Estrada Torre,Fetais
Lumiar,207,A,-,05913,Castanheira Moura,Estrada Torre,Fetais
Musgueira,207,A,-,11507,Av. Carlos Paredes,Av. Carlos Paredes,Fetais
Musgueira,207,A,-,11506,Estação Musgueira,Av. Carlos Paredes,Fetais
Charneca,207,A,-,11509,Esc. Pintor Almada Negreiros,Av. Nuno Krus Abecassis,Fetais
Charneca,207,A,-,06018,Vale Castanheira,R. Tito Morais,Fetais
Charneca,207,A,-,06016,Estr. S. Bartolomeu,Estrada S. Bartolomeu,Fetais
Charneca,207,A,-,06014,Igreja Charneca,Lg. Defensores República,Fetais
Charneca,207,A,-,06006,Campo Amoreiras,Campo Amoreiras,Fetais
Charneca,207,A,Autocarro,06008,Charneca,Campo Amoreiras,Fetais
Charneca,207,A,-,06010,Qta. Pailepa,Estrada Forte da Ameixoeira,Fetais
Charneca,207,A,-,06002,R. João Amaral,Estrada Forte da Ameixoeira,Fetais
Charneca,207,A,-,06012,Estr. Forte,Estrada Circunvalação,Fetais
Galinheiras,207,A,-,11602,Estr. Forte (Escola),Estrada Forte,Fetais
Galinheiras,207,A,-,11608,Galinheiras,Lg. Galinheiras,Fetais
Galinheiras,207,A,-,11610,Qta. Balsares,Estrada Circunvalação,Fetais
